book_name,book_Price,book_reviews,book_rating,book_date,book_discount,book_author
Hands-On Machine Learning with scikit-learn and Scientific Python Toolkits: A practical guide to implementing supervised and unsupervised machine learning algorithms in Python,"2,464",14,4.8 out of 5 stars,24-Jul-20,(20% off),by Tarek Amr | 24 July 2020
Learning Concurrency in Python,"2,782",3,2.0 out of 5 stars,16-Aug-17,(20% off),by Elliot Forbes | 16 August 2017
"Bayesian Analysis with Python: Introduction to statistical modeling and probabilistic programming using PyMC3 and ArviZ, 2nd Edition","2,782",38,4.1 out of 5 stars,26-Dec-18,(20% off),by Osvaldo Martin | 26 December 2018
Python for Finance Cookbook: Over 50 recipes for applying modern Python libraries to financial data analysis,"2,464",36,4.1 out of 5 stars,31-Jan-20,(20% off),by Eryk Lewinson | 31 January 2020
"PostGIS Cookbook: Store, organize, manipulate, and analyze spatial data, 2nd Edition","3,100",7,3.9 out of 5 stars,28-Mar-18,(20% off),"by Mayra Zurbarán, Thomas Kraft, et al. | 28 March 2018"
Data Analysis and Machine Learning with Kaggle: How to compete on Kaggle and build a successful career in data science,"2,784",60,4.5 out of 5 stars,11-Apr-22,(20% off),"by Konrad Banachewicz , Luca Massaron , et al. | 11 April 2022"
"Metasploit Penetration Testing Cookbook: Evade antiviruses, bypass firewalls, and exploit complex environments with the most widely used penetration testing framework, 3rd Edition","2,782",37,4.9 out of 5 stars,26-Feb-18,(20% off),"by Abhinav Singh, Nipun Jaswal, et al. | 26 February 2018"
Learn MongoDB 4.x: A guide to understanding MongoDB development and administration for NoSQL developers,"2,464",4,4.7 out of 5 stars,11-Sep-20,(20% off),by Doug Bierer | 11 September 2020
Xamarin.Forms Projects: Build seven real-world cross-platform mobile apps with C# and Xamarin.Forms,"2,464",23,4.6 out of 5 stars,27-Dec-18,(20% off),by Johan Karlsson and Daniel Hindrikes | 27 December 2018
Advanced Machine Learning with Python: Solve data science problems by mastering cutting-edge machine learning techniques in Python,"2,782",11,4.0 out of 5 stars,06-Jan-16,(20% off),by John Hearty | 6 January 2016
Getting Started with Python and Raspberry Pi,"2,464",3,4.1 out of 5 stars,29-Sep-15,(20% off),by Dan Nixon | 29 September 2015
Bioinformatics with R Cookbook,"3,899",9,2.9 out of 5 stars,23-Jun-14,,by Paurush Praveen Sinha | 23 June 2014
"AI Crash Course: A fun and hands-on introduction to machine learning, reinforcement learning, deep learning, and artificial intelligence with Python","1,828",64,4.2 out of 5 stars,29-Nov-19,(20% off),by Hadelin de Ponteves | 29 November 2019
Learning Functional Data Structures and Algorithms,"2,782",4,5.0 out of 5 stars,23-Feb-17,(20% off),by Atul S. Khot and Raju Kumar Mishra | 23 February 2017
"Mastering OpenCV 4 with Python: A practical guide covering topics from image processing, augmented reality to deep learning with OpenCV 4 and Python 3.7","2,853",32,4.0 out of 5 stars,29-Mar-19,(18% off),by Alberto Fernández Villán | 29 March 2019
"The The Go Workshop: Learn to write clean, efficient code and build high-performance applications with Go","2,464",16,4.7 out of 5 stars,30-Dec-19,(20% off),"by Delio D'Anna , Andrew Hayes , et al. | 30 December 2019"
Oracle Siebel CRM 8 Developer's Handbook,"4,293",6,4.7 out of 5 stars,26-Apr-11,(20% off),by Alexander Hansal | 26 April 2011
Mastering SoapUI,"2,226",7,4.5 out of 5 stars,06-Jan-16,(20% off),by Pranai Nandan | 6 January 2016
Hands-On Software Engineering with Python: Move beyond basic programming and construct reliable and efficient software with complex code,"3,100",12,4.7 out of 5 stars,26-Oct-18,(20% off),by Brian Allbee | 26 October 2018
Oracle JET for Developers,"2,464",,,08-Dec-17,(20% off),by Raja Malleswara Rao Pattamsetti | 8 December 2017
Mastering Data Mining with Python - Find patterns hidden in your data,"3,100",,,06-Jan-16,(20% off),by Megan Squire | 6 January 2016
TypeScript Blueprints,"3,100",,,06-Jan-16,(20% off),by Ivo Gabe de Wolff | 6 January 2016
Python Network Programming Cookbook -: Practical solutions to overcome real-world networking challenges,"3,100",2,3.6 out of 5 stars,09-Aug-17,(20% off),by Pradeeban Kathiravelu and Dr. M. O. Faruque Sarker | 9 August 2017
The Music Producer's Ultimate Guide to FL Studio 20: Create production-quality music with FL Studio,"2,225",143,4.6 out of 5 stars,26-Feb-21,(48% off),by Joshua Au-Yeung | 26 February 2021
Android UI Development with Jetpack Compose: Bring declarative and native UIs to life quickly and easily on Android using Jetpack Compose,"2,466",12,3.7 out of 5 stars,21-Feb-22,(20% off),by Thomas Kunneth | 21 February 2022
"Edge computing with K3os and k3s: A use-case guide for building edge systems using K3os, K3s and other open source cloud native technologies:","2,943",,,09-Sep-22,(20% off),by Sergio Mendez | 9 September 2022
