book_name,book_reviewer_name,book_reviewer_rating,book_reviewer_title,book_reviewer_info,book_reviewer_reviewText
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,駒井 雄一郎,1.0 out of 5 stars,It's like a student's report. It's no longer a primer but a catalogue of shallow knowledge.,Reviewed in Japan 🇯🇵 on 2 June 2022,"I was disappointed by the content. Huge number of typo, poor printing quality and above all, silly and floppy explanation. I couldn't understand what the author try to deliver to the readers.
I hope this crap will be sunk in the bottom of the search result."
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,ML engineer,1.0 out of 5 stars,Too superficial explanations,Reviewed in the United States 🇺🇸 on 4 October 2021,"Pro: The book does add a little bit of details and explanations beyond what is written in the research papers (e.g. 'Attention is all you need', 'BERT -...'). In that regard, it is not completely worthless.
Contra: However, it stays too much on the surface. It repeats itself very often (i.e. the same sentence is repeated maybe 5-10 times inside one chapter, perhaps with a non-essential reordering of the sub-sentences). There would have been many opportunities to dig deeper or provide more understanding, besides what is already written in the research papers. But the book does not do this, by and large.
So, I am back to trying to study BERT deeper using tutorials and blog posts on the internet, which are typically not satisfactory, but provide a little bit more understanding and context into understanding BERT."
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Dwayne Phillips,2.0 out of 5 stars,They tried....but failed,Reviewed in the United States 🇺🇸 on 26 February 2022,"I gave two stars instead of one star for effort.
(1) I bought a copy in the fall of 2021. There were printing problems with subscripts and superscripts that made the text unreadable. In addition, some of the text in the figures was tiny. I wrote the publisher and they worked with me and eventually sent me a copy of the book with the printing improved.
(2) I tried and tried and tried to get through the first 20 pages of the book. It needs to be edited and rewritten. There are basic grammar and English mistakes in every paragraph. Perhaps the writing team does not write in English as a native language. Well, that is why publishers have editors. Well, they didn't edit this book.
(3) Good effort, they tried, but they failed."
"Mastering Machine Learning with R -: Advanced prediction, algorithms, and learning methods with R 3.x",Amazon Customer,2.0 out of 5 stars,They used very cheap paper printing is not good and also some pages are not visible to read,Reviewed in India 🇮🇳 on 24 May 2017,"The book was not up to the expectations. They used very cheap paper printing is not good and also some pages are not visible to read.Content wise is also not no real time data sets used all they used toy data sets no clear explanation also as the name says ""Mastering"" but its not
I bought ""Machine learning with r from Packt"" publications.That was very good.setting the expectaions from packt i bought but it is not worth."
"Mastering Machine Learning with R -: Advanced prediction, algorithms, and learning methods with R 3.x",Bluebird,4.0 out of 5 stars,Good book,Reviewed in India 🇮🇳 on 3 September 2017,"Yes the book is worth reading. The only con is black and white pic.. Which is not too bad.apart, the book is not for starters but for the people who what deep understanding of ML. It do not contain a to z but what ever it cover it is good"
"Mastering Machine Learning with R -: Advanced prediction, algorithms, and learning methods with R 3.x",Jose Luis,1.0 out of 5 stars,Achtung! Book is full of erratas,Reviewed in Germany 🇩🇪 on 5 October 2017,"Sometimes, the code in the book doesn't work (R shows error messages and stop running the code) because the data doesn't meet the function requirements.
Charts are duplicated / missed what makes not possible to follow the examples properly.
This book can be used to get notions about the process but not not master ML with R unless you have R and stats knowledge that enables you to rewrite some code.
I have been sending the erratas to the publisher without any respond so far."
Mastering SaltStack -: Use Salt to the fullest,PW,5.0 out of 5 stars,Easy to understand and follow content,Reviewed in the United Kingdom 🇬🇧 on 14 February 2019,That is how you start with Salt
Mastering SaltStack -: Use Salt to the fullest,jc,5.0 out of 5 stars,This book leads you through the basics.,Reviewed in the United States 🇺🇸 on 23 August 2017,While there is a lot of documentation on the saltstack web site it is difficult to know how to begin learning about saltstack. This book leads you through the basics. It is a good start for a novice on saltstack. You will probably need some background in python to get the most from this book but it is probably not a necessity
Mastering SaltStack -: Use Salt to the fullest,Amazon Customer,3.0 out of 5 stars,As expected,Reviewed in the United States 🇺🇸 on 1 November 2018,As expected
"AWS for Solutions Architects: Design your cloud infrastructure by implementing DevOps, containers, and Amazon Web Services",Amazon User,4.0 out of 5 stars,An in depth study of cloud infrastructure,Reviewed in India 🇮🇳 on 9 March 2021,This is a great book on AWS for beginners who want to apply cloud design patterns to overcome real-world challenges. It gives an in- depth understanding of the concepts for common real-world use.
"AWS for Solutions Architects: Design your cloud infrastructure by implementing DevOps, containers, and Amazon Web Services",Amazon Customer,5.0 out of 5 stars,Great book for AWS Cloud Architects,Reviewed in India 🇮🇳 on 1 March 2021,"This is a great book from beginner to architects level. This book covers how to design/build a scalable/secure/highly-available and cost-effective solutions. All AWS Well-Architected framework concepts with real use cases.
Book is very well formatted and organized, easy to understand with diagrams and examples. This is very good book for Cloud architects who is working on AWS cloud. Cover all topics in very details."
"AWS for Solutions Architects: Design your cloud infrastructure by implementing DevOps, containers, and Amazon Web Services",A. Jaokar,5.0 out of 5 stars,in depth coverage ..,Reviewed in the United Kingdom 🇬🇧 on 1 March 2021,"I recommend this book for its detailed and in-depth coverage. - especially its emphasis on reference architectures and design patterns.
The cloud is a rapidly evolving space and this book does well to cover both the basics and the detail."
